fecha,Xela (TanLechugaYo),Capital (Rayuela GT),Antigua (BanderasBlancas),AltaVerapaz (Club Social DVictoria),Santiago_Atitlan,SanTecla_ElSalvador
2020-05-01,,,,,,125
2020-05-02,,,,,,125
2020-05-03,,,,,,147
2020-05-04,,,,,,160
2020-05-05,116,,,,,200
2020-05-06,,,,,,168
2020-05-07,,,,,,
2020-05-08,193,,,,,
2020-05-09,283,,,,,128
2020-05-10,272,,,,,
2020-05-11,1452,,,,,
2020-05-12,,,,,,120
2020-05-13,365,,,,,167
2020-05-14,492,1216,,,,155
2020-05-15,,,,,,141
2020-05-16,150,,85,,,244
2020-05-17,,,,,,187
2020-05-18,,,185,,120,267
2020-05-19,,500,250,75,,308
2020-05-20,661,,,,,250
2020-05-21,509,,,,,267
2020-05-22,673,,,,,280
2020-05-23,468,,,,,
2020-05-24,,,,,,
2020-05-25,,,,,,
2020-05-26,357,,,,,
2020-05-27,512,,,,,
2020-05-28,432,,,,100,
2020-05-29,,,,,,
2020-05-30,473,,,,,
2020-05-31,,,,,,
2020-06-01,538,,75,75,,
2020-06-02,,,,,,
2020-06-03,625,,,,,
2020-06-04,498,,,,,
2020-06-05,479,,,,,
2020-06-06,468,,,,,
2020-06-07,,,,,,
2020-06-08,,,,,,
