fecha,confirmados,recuperados,fallecidos,activos,pruebas
2020-03-13 06:00:00.000,1,0,0,1,0
2020-03-14 06:00:00.000,2,0,0,2,0
2020-03-15 06:00:00.000,3,0,1,2,0
2020-03-16 06:00:00.000,6,0,1,5,0
2020-03-17 06:00:00.000,6,0,1,5,0
2020-03-18 06:00:00.000,8,0,1,7,0
2020-03-19 06:00:00.000,9,0,1,8,0
2020-03-20 10:00:00.000,13,0,1,12,0
2020-03-21 10:00:00.000,17,0,1,16,0
2020-03-22 09:24:39.973,19,0,1,18,0
2020-03-23 11:30:12.190,21,0,1,20,0
2020-03-24 09:48:08.392,21,0,1,20,0
2020-03-25 06:39:03.238,24,4,1,19,0
2020-03-26 06:47:35.100,25,5,1,19,0
2020-03-27 07:00:32.000,28,5,1,23,0
2020-03-29 16:34:33.296,36,10,1,25,0
2020-03-28 07:00:00.000,34,10,1,23,0
2020-03-30 10:34:11.939,36,10,1,25,0
2020-03-31 09:05:24.087,39,12,1,26,0
2020-04-01 06:42:54.000,46,12,1,33,0
2020-04-02 06:13:26.000,47,12,1,34,0
2020-04-03 06:26:19.000,50,12,1,37,0
2020-04-04 08:01:48.000,61,15,2,44,0
2020-04-05 08:31:28.000,70,15,3,52,0
2020-04-06 08:40:48.000,74,17,3,54,0
2020-04-07 08:47:38.305,80,17,3,60,0
2020-04-08 08:08:38.000,87,17,3,67,0
2020-04-09 08:32:15.420,126,17,3,106,0
2020-04-10 08:34:02.000,137,19,3,115,0
2020-04-11 08:36:50.000,153,19,3,130,0
2020-04-12 08:07:35.000,156,19,5,131,0
2020-04-13 08:39:11.000,167,19,5,142,0
2020-04-14 08:43:47.000,180,19,5,155,0
2020-04-15 08:26:48.000,196,19,6,171,0
2020-04-16 08:27:26.000,214,21,8,185,427
2020-04-17 08:28:41.000,235,21,8,206,427
2020-04-18 08:35:13.000,257,21,8,227,711
2020-04-19 08:58:08.000,289,22,8,258,711
2020-04-20 08:58:05.000,294,24,8,261,711
2020-04-21 08:45:09.000,316,24,10,282,711
2020-04-22 08:59:55.000,342,25,12,305,711
2020-04-23 08:59:00.000,384,30,14,341,1122
2020-04-24 08:59:00.000,430,30,14,387,1585
2020-04-25 08:59:00.000,473,45,15,413,1585
2020-04-26 08:59:00.000,500,49,15,434,1585
2020-04-27 08:59:00.000,530,49,15,464,2077
2020-04-28 08:59:00.000,557,62,16,477,2517
2020-04-29 08:59:00.000,585,65,16,502,2517
2020-04-30 08:59:00.000,599,66,16,515,2517
2020-05-01 08:59:00.000,644,72,16,554,3069
2020-05-02 08:59:00.000,688,72,17,597,3632
2020-05-03 08:59:00.000,703,72,17,612,4151
2020-05-04 08:59:00.000,730,79,19,630,4620
2020-05-05 08:59:00.000,763,79,19,663,4620
2020-05-06 08:59:00.000,798,86,21,689,5071
2020-05-07 08:59:00.000,832,90,23,717,5620
2020-05-09 08:59:00.000,967,104,24,837,6218
2020-05-08 08:59:00.000,900,101,24,773,7033
2020-05-10 08:59:00.000,1052,110,26,916,7732
2020-05-11 08:59:00.000,1114,111,26,975,8450
2020-05-12 08:59:00.000,1199,120,27,1050,8808
2020-05-13 08:59:00.000,1342,121,29,1190,9337
2020-05-14 08:59:00.000,1518,129,29,1358,10140
2020-05-15 08:59:00.000,1643,135,30,1476,11162
2020-05-16 08:59:00.000,1763,138,33,1590,12395
2020-05-17 08:59:00.000,1912,138,35,1737,13792
2020-05-18 08:59:00.000,2001,139,38,1822,15006
2020-05-19 08:59:00.000,2133,155,43,1933,16309
2020-05-20 08:59:00.000,2265,159,45,2059,17498
2020-05-21 08:59:00.000,2512,222,48,2240,18982
2020-05-22 08:59:00.000,2743,222,51,2468,20834
2020-05-23 08:59:00.000,3054,244,55,2753,22587
2020-05-24 08:59:00.000,3424,258,58,3106,24431
2020-05-25 08:59:00.000,3760,274,59,3425,26797
2020-05-26 08:59:00.000,3954,289,63,3600,28696
2020-05-27 08:59:00.000,4145,493,68,3582,30821
2020-05-28 08:59:00.000,4348,565,80,3701,31948
2020-05-29 08:59:00.000,4607,648,90,3867,33269
2020-05-30 08:59:00.000,4739,706,102,3929,34610
2020-05-31 08:59:00.000,5087,735,108,4242,36350
2020-06-01 08:59:00.000,5336,795,116,4423,37987
2020-06-02 08:59:00.000,5586,824,123,4637,39578
2020-06-03 08:59:00.000,5760,929,143,4686,41035
2020-06-04 08:59:00.000,6154,979,158,5015,42659
2020-06-05 08:59:00.000,6485,1053,216,5214,44232
2020-06-06 08:59:00.000,6792,1133,230,5427,45828
2020-06-07 08:59:00.000,7055,1261,252,5540,47458
2020-06-08 08:59:00.000,7502,1323,267,5910,49198
2020-06-09 08:59:00.000,7866,1413,289,6162,50892
2020-06-10 08:59:00.000,8221,1504,316,6399,52475
2020-06-11 08:59:00.000,8561,1567,334,6658,54113
2020-06-12 08:59:00.000,8982,1702,351,6927,55795
2020-06-13 08:59:00.000,9491,1804,367,7318,57388
2020-06-14 08:59:00.000,9845,1886,384,7573,58849
2020-06-15 08:59:00.000,10272,1966,399,7905,60570
2020-06-16 08:59:00.000,10706,2096,418,8190,62228
2020-06-17 08:59:00.000,11251,2200,432,8617,63750
2020-06-18 08:59:00.000,11868,2290,449,9127,65294
2020-06-19 08:59:00.000,12509,2419,483,9605,66843
2020-06-20 08:59:00.000,12755,2558,514,9681,68250
2020-06-21 08:59:00.000,13145,2711,531,9901,69445
2020-06-22 08:59:00.000,13769,2818,547,10402,70719
2020-06-23 08:59:00.000,14540,2897,582,11059,71809
2020-06-24 08:59:00.000,14819,2930,601,11286,73353
2020-06-25 08:59:00.000,15828,3028,672,12126,74981
2020-06-26 08:59:00.000,16397,3123,706,12566,77100
2020-06-27 08:59:00.000,16930,3152,727,13049,78714
2020-06-28 08:59:00.000,16930,3152,727,13049,79847
